;Unnamed: 0;date;news;label
21;21;3/17/2017;The electric carmaker has lost money three years in a row and plans to supercharge production of its mass market model with very little buffer.;-1.0
22;22;3/28/2017;The purchase came as the carmaker has sought to raise more cash before starting production of its Model 3, an electric vehicle targeting the mass market.;1.0
23;23;3/29/2017;Ignoring climate change and the benefits of clean energy only helps a rival.;1.0
24;24;3/30/2017;The use of a rocket booster that had flown once before may open an era of cheaper space travel, particularly for business ventures like satellite companies.;0.0
25;25;3/31/2017;SpaceX launched a “pre-flown” rocket into space on Thursday. If the company can repeat it, this method could slash the price of space travel in the future.;1.0
26;26;4/3/2017;The electric-car maker said it produced 25,418 vehicles in the first quarter, compared with 15,510 a year ago. The company wants to produce 500,000 cars in 2018.;1.0
27;27;4/4/2017;With signs that the long boom in American auto sales is tapering off, the Detroit giants are eclipsed on Wall Street by the electric-vehicle upstart.;-1.0
28;28;4/6/2017;The electric-car maker is the latest company to become a market darling based not on what it has achieved but on a vision of a dominant future.;1.0
29;29;4/10/2017;After passing Ford Motor a week ago, the electric car company edged past General Motors in early trading, with a market capitalization of $50.9 billion.;0.0
30;30;4/11/2017;General Motors has achieved steady profits in a booming domestic market and has tried to prove its innovative approach, but investors are unimpressed.;0.0
31;31;4/11/2017;Tesla’s valuation implies that investors expect its chief executive, Elon Musk, to outdo even some of his biggest cheerleaders’ already rosy assumptions.;-1.0
32;32;4/12/2017;Investors have been energized by the electric-car maker’s upbeat outlook for delivering its mass-market model. Now its chief, Elon Musk, must deliver.;-1.0
33;33;5/3/2017;Investors have been bullish about the electric-car maker, but its ability to meet its goals is under scrutiny as it proceeds with a mass-market model.;-1.0
34;34;6/1/2017;Several large corporations quickly expressed dismay with President Trump’s decision and said they would continue their environmental efforts.;1.0
35;35;6/2/2017;The president’s decision to pull out of the Paris climate accord did not go over well with tech industry leaders.;-1.0
36;36;6/2/2017;The next SpaceX mission will carry insects and rodents to help scientists understand the effects of long-term life in space.;0.0
37;37;6/6/2017;General Motors beat back a bid to split its stock into two classes, and its upstart electric-car rival overcame a challenge to multiyear board terms.;0.0
38;38;6/7/2017;Researchers have proved a car can be remotely hacked. Now imagine if that car was being driven entirely by a computer.;-1.0
39;39;6/22/2017;The company said foreign production was needed to make its models more affordable overseas. Its plan for a plant would require a Chinese partner.;0.0
40;40;7/3/2017;As the electric-car maker moves to expand its lineup, it said problems with battery manufacturing had held down sales of existing models this year.;-1.0
41;41;7/6/2017;The electric-car maker’s shares are off sharply after a report of production trouble, giving General Motors back its lead after less than three months.;-1.0
42;42;7/7/2017;Conversation starters and context, drawn from the day’s news in Australia.;0.0
43;43;7/7/2017;Under pressure from car dealers, the state is one of several that bars the electric-car maker from selling directly to the public.;-1.0
44;44;7/8/2017;A growing number of analysts say pessimism about plug-in cars could be becoming outdated, thanks in part to plunging battery prices.;1.0
45;45;7/18/2017;The technology is catching on faster than predicted.;1.0
46;46;7/20/2017;The entrepreneur said on Twitter that he had verbal approval to build a transportation artery connecting cities from New York to Washington D.C.;0.0
47;47;7/27/2017;Elon Musk’s rocket company raised $350 million in new financing, raising its valuation to about $21 billion.;1.0
48;48;7/29/2017;Elon Musk, Tesla’s chief executive, delivered 30 cars to employees chosen to be the first owners. The electric-car maker faces a challenge in meeting the sizable demand.;1.0
49;49;8/2/2017;The electric-car maker lost more than $400 million in the second quarter, but its revenue doubled, with its first mass-market model in the offing.;-1.0
50;50;8/7/2017;Diluting its shares by just 3 percent would have done the trick at less risk. But bondholders don’t need shareholders’ faith in Elon Musk to be paid back.;0.0
51;51;8/10/2017;Humans have historically tended to travel about half an hour to work, regardless of how fast the mode of transportation.;0.0
52;52;9/2/2017;Three rules for ensuring that A.I. systems don’t run roughshod over humans.;0.0
53;53;9/12/2017;The company remotely enabled free software upgrades for Florida drivers during the hurricane, sparking questions about Tesla’s oversight.;1.0
54;54;9/12/2017;In a fatal accident last year, the National Transportation Safety Board said, the automaker allowed autonomous driving in unsuitable conditions.;-1.0
55;55;9/28/2017;Mr. Musk’s booster, scaled back from last year’s plan but still the largest ever, could take travelers to Mars, the moon — or around the world in minutes.;1.0
56;56;10/5/2017;This week’s newsletter explores Australia’s sense of when to strictly abide by the rules, and when to ignore, bend or change them.;0.0
57;57;10/5/2017;Compared to a short pit stop at a gas station, charging an electric vehicle can be a time-consuming experience. But change is at hand.;-1
58;58;10/14/2017;The dismissals came as the electric-car maker tries to increase the production of its first mass-market vehicle, the Model 3 sedan.;0
59;59;10/14/2017;Automated cars will save lives and make us more productive, manufacturers say. But most Americans say, not so fast.;1
60;60;10/23/2017;Tesla is said to be moving closer to becoming the first foreign car company to have a wholly owned manufacturing operation in the country.;1
61;61;10/27/2017;By restricting the range of its cars for a reduced price, Tesla annoyed some critics, but it was engaging in a common and beneficial practice.;-1
62;62;11/1/2017;In which I try to wrap my mind around tax incidence yet again.;0
63;63;11/1/2017;The electric-car maker cited record output of its existing models, and its chief said bottlenecks on its first mass-market offering were being resolved.;1
64;64;11/2/2017;The Republican proposal calls for abolishing a $7,500 credit for purchases of all-electric and plug-in hybrid vehicles, just as automakers are expanding lineups.;1
65;65;11/7/2017;Pieter Abbeel, a Berkeley professor, is part of the team that has started Embodied Intelligence to make it possible for robots to learn on their own.;0
66;66;11/7/2017;For Elon Musk’s company, autonomous driving is just a pit stop on the road to a better planet. Can it survive long enough to get there?;1
67;67;11/13/2017;With fewer cultural hurdles and more financial incentives than car owners, big-rig operators are charting the route to an autonomous future.;1
68;68;11/17/2017;Aiming to remake a multibillion-dollar industry, the automaker said it would have a semi for sale in two years that would be nearly self-driving.;1
69;69;11/22/2017;Space shuttle launches were Earth-rattling when seen in person. Now rocket launches can be covered through an iPhone, says Kenneth Chang, who covers space for The Times.;0
70;70;11/30/2017;South Australia had a blackout problem, and the Tesla founder had a solution: a battery the size of a football field.;-1
71;71;1/2/2018;The last year gave us some whopping deals, including Amazon.com’s acquisition of Whole Foods, that will shape the business landscape in 2018.;0
72;72;1/4/2018;Production of the electric-car maker’s mass-market offering was far below forecasts in the fourth quarter. The report sent the company’s shares lower.;1
73;73;1/11/2018;The manufacturers complain that they will soon be at a disadvantage — once they hit a sales mark that leaves their buyers without the benefit of a tax credit.;0
74;74;1/22/2018;SpaceX launched its Falcon Heavy rocket for the second time on Thursday.;0
75;75;1/22/2018;After years of delay, the Falcon Heavy — a beefed-up version of SpaceX’s workhorse Falcon 9 — could launch in the weeks ahead.;0
76;76;1/23/2018;Mr. Musk agreed to stay as chief executive for 10 years, with compensation tied to $50 billion leaps in Tesla’s valuation. Otherwise, he makes zero.;1
77;77;1/23/2018;The next chairman of the Federal Reserve was backed by 85 senators, more than enough to confirm him as the successor to Janet Yellen.;0
78;78;1/23/2018;The revenue and market capitalization targets for 2028 may seem off the charts, but one example to follow might be Jeff Bezos and Amazon.;1
79;79;2/6/2018;Elon Musk disrupted the business of sending rockets into space and has now achieved a milestone in spaceflight by launching the most powerful rocket currently operating in the world.;0
80;80;2/7/2018;The electric-car maker, reporting another quarterly loss, is scrambling to root out glitches in the manufacturing of its first mass-market offering.;-1
81;81;2/9/2018;In this week’s tech newsletter, a look at Apple’s new smart speaker, the Waymo vs. Uber trial and a billionaire’s rocket (plus his cherry red convertible).;0
82;82;2/10/2018;If Washington shuts down, companies will step up. Do we really want that?;-1
83;83;2/12/2018;Elon Musk is flying high, despite Model 3 delays.;1
84;84;2/27/2018;Before her stroke, Ma was an adventurous traveler: the Amazon, the Nile, the Galápagos. Now, she’s planning on tagging along with Elon Musk to Mars.;0
85;85;3/6/2018;Porsche’s Mission E models will compete with Tesla’s Model S and Model X, but the German automaker isn’t focused just on high-performance vehicles. It’s getting into charging, too.;-1
86;86;3/8/2018;The president of Chile, China’s foreign minister and the head of the European Central Bank all weighed in on President Trump's metals tariffs.;-1
87;87;3/9/2018;Is Lloyd Blankfein, the chief executive of Goldman Sachs, planning on stepping down “as soon as the end of the year?”;0
88;88;3/16/2018;Kimmel said, “Now you can give money to a porn star — just like the president of the United States.”;0
89;89;3/23/2018;Mr. Musk deleted the Facebook pages of two of his companies, SpaceX and Tesla. He and the Facebook C.E.O., Mark Zuckerberg, have, er, not always gotten along.;-1
90;90;3/26/2018;Stocks on Wall Street surged on signs of easing trade tensions.;-1
91;91;3/29/2018;If the Trump administration pursues ways to curtail the company, it would meet sizable obstacles.;-1
92;92;3/29/2018;Production delays, a recall and other problems have presented the electric-car maker and its founder, Elon Musk, with a crisis of confidence among investors.;-1
93;93;3/31/2018;More questions were raised about the safety of the company’s self-driving technology after a second fatal crash in which the Autopilot system had been engaged.;-1
94;94;3/31/2018;The company said a Model X was using Autopilot when it hit a concrete divider on March 23. The system, one analyst said, “works fine, until it suddenly doesn’t.”;-1
95;95;4/2/2018;After teasing “important news” to come, he tweeted: “Tesla has gone completely and totally bankrupt. So bankrupt, you can’t believe it.”;-1
96;96;4/2/2018;For months, the stock market plowed through the obstacles the Trump administration threw in its way. Now, the S.&P. 500 is down more than 10 percent from its high.;0
97;97;4/3/2018;The electric-car maker said output of its first mass-market offering, the Model 3, was up to 2,000 a week. But that’s still short of the goal set by Elon Musk.;-1
98;98;4/4/2018;Tesla’s inability to meet production goals and the E.P.A.’s easing of mileage rules may delay electrification of vehicles, but it still will happen.;-1
99;99;4/5/2018;A test drive shows the allure of the company’s mass-market electric car and limitations of its Autopilot system.;-1
100;100;4/9/2018;The Australian rust belt city of Adelaide wants to replicate the same innovation model that has revived American cities like Chattanooga and Pittsburgh.;0
101;101;4/12/2018;First-quarter results from the big banks could offer insights into the issues buffeting the financial markets and the global economy.;-1
102;102;4/17/2018;The maker of electric cars expects to idle its assembly line for several days to clear impediments that have held production well below the company’s targets.;0
103;103;4/20/2018;Days after a news report focused on conditions at the plant, a California agency said it was investigating an episode that left a millwright’s jaw broken.;0
104;104;4/24/2018;Two new books, “The Space Barons” and “Rocket Billionaires,” tell the story of the entrepreneurial push to leave Earth.;0
105;105;4/29/2018;The British man was barred from driving for 18 months after being videotaped sitting with his hands behind his head, cruising at 40 miles per hour in “heavy” traffic.;0
106;106;4/29/2018;A crucial deadline will expire on Tuesday for six U.S. allies temporarily exempted from steel and aluminum trade tariffs. Apple and Tesla report earnings.;1
107;107;5/2/2018;The chief executive said the electric-car maker would be profitable in the second half of the year if it met its production goals.;1
108;108;5/3/2018;"The United States has an expertise advantage in trade negotiations with China; solar tariffs are scrambling the industry; and Tesla’s “bizarre” conference call sent shares sliding.";1
109;109;5/3/2018;A contentious conference call with analysts after Tesla’s earnings announcement sent shares of the electric-car maker sharply lower.;-1
110;110;5/7/2018;A tiff between Warren Buffett and Elon Musk reignited over the weekend. But the two do have common ground, and betting against either is risky.;0
111;111;5/7/2018;Mr. Musk is the business world’s gleeful invader, but Mr. Buffett’s mantra of investing in businesses with “moats” remains secure.;1
112;112;5/22/2018;Elon Musk, the electric-car company’s chief, said Tesla would lose money and die if it began selling the cheapest version of its mass-market car too soon.;-1
113;113;5/24/2018;Mr. Musk and his company, Tesla, have had a rough couple of months resulting in several negative stories in the media. On Wednesday he vented on Twitter.;-1
114;114;5/24/2018;Following harsh reviews of Tesla’s Model 3, the C.E.O. says that he has a plan to clean up what he sees as a biased industry.;1
115;115;5/26/2018;Tesla’s chief executive knows a sucker is born every minute.;0
116;116;5/30/2018;After Consumer Reports said it could not recommend the car, a software fix addressed a braking issue, and the magazine reversed its judgment.;1
117;117;5/31/2018;Readers say he is nothing like Donald Trump.;-1
118;118;6/3/2018;Tesla is most likely to face tough questions at its annual shareholder meeting, and new data is expected on people who work in the gig economy.;-1
119;119;6/5/2018;Dissidents wanted to oust directors and split the jobs of chairman and chief executive. The chief, Elon Musk, reported progress on Model 3 production.;1
120;120;6/6/2018;Even leashed by software nannies, the electric vehicle concept offers an enticing preview of how Porsche will challenge Tesla.;-1
121;121;6/9/2018;As the tech moguls disagree over the risks presented by something that doesn’t exist yet, all of Silicon Valley is learning about unintended consequences of A.I.;0
122;122;6/12/2018;The automaker said the 9 percent reduction, mostly limited to salaried employees, was part of a broad reorganization and would not affect production.;1
123;123;6/13/2018;Layoffs at the carmaker suggest that the company is taking a more cautious approach to its business. But that raises a whole new set of questions.;0
124;124;6/14/2018;Mayor Rahm Emanuel announced that Mr. Musk’s company hopes to create a system of electric vehicles underground to carry people from downtown to the airport.;1
125;125;6/19/2018;In an email to workers, he said the operation was “quite extensive and damaging” at a time when the automaker was scrambling to ramp up production.;-1
126;126;6/20/2018;The internet’s first megaplatform was more than just an auction site — it was the blueprint for everything that followed.;0
127;127;6/30/2018;Scrambling to turn out its first mass-market electric car, the automaker set up multiple assembly lines and is changing production processes on the fly.;1
128;128;7/2/2018;The automaker said it turned out more than 5,000 of the mass-market sedans last week, a threshold it has said is crucial to reaching profitability.;1
129;129;7/7/2018;The billionaire whose companies make electric cars and rockets has mused on ways to save 12 boys and their soccer coach from the flooded depths of the cave.;1
130;130;7/10/2018;The wholly owned operation, based in Shanghai, would be the first overseas factory for the automaker’s electric vehicles.;-1
131;131;7/10/2018;The tech billionaire arrived with 10 engineers and an improvised submersible, but the help was declined. The passage was too narrow.;-1
132;132;7/11/2018;Volkswagen and BMW are among those striking deals with Beijing to help them become a larger part of the world’s biggest car market.;-1
133;133;7/12/2018;The military may use the tiny submarine for future rescues, though it was deemed too large and impractical to save the soccer team in the cave.;0
134;134;7/13/2018;Here’s a reminder of how technology aspirations and competition are at the heart of the battle between the United States and China.;0
135;135;7/14/2018;Just because you’re a successful tech mogul doesn’t mean you know how to rescue kids trapped underground.;0
136;136;7/18/2018;The tech billionaire had faced mounting criticism from investors for calling the British diver a pedophile after the man criticized Mr. Musk’s submarine.;-1
137;137;7/20/2018;A small contractor’s unguarded server accidentally revealed a trove of corporate documents from Tesla, Toyota, Volkswagen and other manufacturers.;0
138;138;7/20/2018;Elon Musk apologized for calling a Thailand cave diving rescuer a pedophile, while Mark Zuckerberg was tongue-tied by Holocaust deniers.;1
139;139;7/23/2018;The automaker wants to reopen pricing agreements with some suppliers for work already underway. It called the practice routine, but its shares fell.;0
140;140;7/29/2018;Tesla is also reporting earnings, but the attention will be on its production numbers. The Federal Reserve board meets, but it’s not expected to raise interest rates. ;-1
141;141;8/1/2018;Elon Musk, the chief executive, said the electric-car maker was about to turn a corner with output of its mass-market Model 3, buoying company shares.;1
142;142;8/7/2018;Tesla’s chief executive suggested that being a public company, beholden to shareholders, created perverse incentives for short-sellers.;1
143;143;8/8/2018;There are some huge questions facing Elon Musk’s vision of taking his automaker off the public market.;0
144;144;8/8/2018;Investors should ask: Where is the money coming from and would Tesla really be better off as a private company?;-1
145;145;8/8/2018;Mr. Musk’s statement that he had “funding secured” for a possible $70 billion buyout could get scrutiny from securities regulators and plaintiffs’ lawyers.;-1
146;146;8/8/2018;Banks including Citigroup and Goldman Sachs are looking at ways to structure transactions for Tesla that would remove the automaker from the public markets.;1
147;147;8/9/2018;Banks, investors, short-sellers and the Securities and Exchange Commission all want that huge question answered.;-1
148;148;8/9/2018;The Tesla C.E.O. remains up in his fight with those betting on a fall in the electric carmaker’s shares. But his doubters remain undeterred.;1
149;149;8/11/2018;It’s time to update our stereotypes.;1
150;150;8/13/2018;The chief executive is said to have written his Twitter post last week in haste. But he said Monday he had Saudi financial backing for a buyout plan.;1
151;151;8/13/2018;Executives are permitted to disclose market-moving information on social media. But Mr. Musk has provided regulators ample opportunity to re-examine the policy.;0
152;152;8/14/2018;Tesla’s C.E.O. revealed more details about his plan to take the company private. They do little to clear up confusion surrounding the potential deal.;-1
153;153;8/14/2018;Three independent members of the board will have “full power and authority” to evaluate any privatization efforts proposed by Elon Musk, the chief executive.;0
154;154;8/15/2018;Tesla’s board of directors has hired multiple outside law firms, and a number of board members and Tesla employees have urged Mr. Musk to stop posting on Twitter.;-1
155;155;8/15/2018;The company’s directors want to rein in Elon Musk. They have their work cut out.;-1
156;156;8/15/2018;The private equity firm is informally advising Elon Musk on his push to remove the automaker from public markets. It’s been here before, with Dell.;1
157;157;8/15/2018;The government is investigating Tesla after Mr. Musk said he had secured funding to take the electric-car company private, causing its shares to soar.;-1
158;158;8/15/2018;The same traits that have made Mr. Musk a great entrepreneur also make him a potentially troublesome chief executive. Tesla’s board should act as a filter.;0
159;159;8/16/2018;Let me answer the question many are thinking: Is he crazy? ;0
160;160;8/17/2018;After setting off a furor that unsettled the markets and his own board, the Tesla chief talks about the pressure he is under and his struggle to cope.;-1
161;161;8/17/2018;The Tesla chief executive addressed a wide range of issues, including the search for a chief operating officer and his tweet that sent the company’s shares soaring.;-1
162;162;8/17/2018;The Tesla chief told The New York Times that working nonstop to turn the company around is taking its toll on him. His directors agree.;1
163;163;8/17/2018;Twitter struggled, and failed, to answer the question of what is allowed on its platform. And Elon Musk dealt with the consequences of having tweeted in the first place.;0
164;164;8/17/2018;Why can’t Republicans in Congress react like the Tesla board of directors to impulsive and irrational tweets?;-1
165;165;8/17/2018;The rapper’s account of an encounter with Elon Musk set social media on fire. But that wasn’t the last word. Not by a long shot.;0
166;166;8/18/2018;Tesla’s stock tumbled 10 percent Friday, generating more than $1 billion in profits for investors betting on a fall in the electric-car maker’s shares.;-1
167;167;8/18/2018;R.I.P. Queen of Soul. The trials of Elon Musk. Madonna is 60. What the heck is cubing? Meet Rashida Tlaib. And more.;0
168;168;8/18/2018;“This past year has been the most difficult and painful year of my career,” said Mr. Musk, the head of Tesla. “It was excruciating.”;1
169;169;8/18/2018;Serial entrepreneur Elon Musk wants to fundamentally change the way we live. But his path to success has been characterized by both great accomplishments and flirtations with failure.;1
170;170;8/19/2018;For our Corner Office columnist, an hour with a deeply emotional Mr. Musk was not just another C.E.O. interview.;0
171;171;8/20/2018;The electric-car maker’s cash position was closely watched even before its chief executive, Elon Musk, floated the idea of taking the company private.;-1
172;172;8/20/2018;Tesla shares dropped after the company founder’s emotional interview with The New York Times. Investors, and Arianna Huffington, are concerned.;-1
173;173;8/21/2018;Many auto parts companies consider the carmaker a financial risk to their businesses.;-1
174;174;8/23/2018;A buyout of the electric-car maker would be complicated and costly.;-1
175;175;8/23/2018;Elon Musk has insisted that taking the company private would allow it to achieve its potential. A letter from ARK Invest on Thursday took issue with his argument.;-1
176;176;8/24/2018;Figuring out the numbers required to remove the automaker from the stock markets is complex — and perhaps even unmoored from reality.;1
177;177;8/24/2018;The regulator’s investigation has the potential to move down a number of paths. The question is how this might play out for Tesla and Mr. Musk.;1
178;178;8/24/2018;The rifle maker, recently privatized, showed off an electric concept vehicle and what it says is a dual-use robot. The social media response was mocking.;-1
179;179;8/25/2018;Tesla’s chief executive announced that the electric car company would remain public, despite tweeting earlier this month that he was considering taking it private.;-1
180;180;8/25/2018;The chief executive decided that rather than being a prayer answered, funding for a buyout would present a host of new troubles, people close to the events say.;-1
181;181;8/27/2018;After deciding not to try to remove its shares from the market, the electric carmaker must focus on some stubborn challenges while facing new ones.;-1
182;182;8/28/2018;From his management style to his personal life, the Tesla chief seems comfortable with chaos, often of his own creation. Is that best for his company?;0
183;183;9/7/2018;Investors who worry about the Tesla C.E.O.’s erratic behavior and drug use are not having their concerns allayed.;-1
184;184;9/7/2018;The head of accounting departed weeks after he arrived, and the company’s chief held forth in a webcast punctuated by his apparent puffs on a joint.;-1
185;185;9/9/2018;The departure of Tesla’s senior accountant comes as the electric-car maker is entering a crucial period in which there can be no uncertainty about its financial statements.;-1
186;186;9/12/2018;Two new books, “The Fixer” and “Regulatory Hacking,” explain why disruptive start-ups need to anticipate the regulatory reaction of the industry interests they threaten.;0
187;187;9/12/2018;Technology chief executives were once admired for their force-of-nature personalities and daring. Now boring is the new black (or is it beige?). Except for Elon Musk, of course.;1
188;188;9/15/2018;Securities laws were built around the concept that more information is the best protection for shareholders. But companies are striking back at rules.;0
189;189;9/16/2018;Chicagoans have doubts about the dreams of a 12-minute ride to O’Hare. Mayor Rahm Emanuel’s decision not to run again has added to the questions.;0
190;190;9/17/2018;Elon Musk says short-sellers are conspiring to bring his company down. Some seasoned investors say it’s just a matter of fundamentals. ;-1
191;191;9/17/2018;Yusaku Maezawa, a Japanese fashion entrepreneur, and several artists would follow a looping path around the moon aboard a new rocket. When the flight might occur is uncertain.;0
192;192;9/17/2018;Mr. Musk and the caver butted heads this summer about the high-profile rescue of a group of children trapped in a cave in Thailand.;1
193;193;9/18/2018;The company said the department requested documents after its chief executive, Elon Musk, said he had “funding secured” to take its stock off public markets.;1
194;194;9/18/2018;A quick take on some of the important finance and business stories of the day.;0
195;195;9/20/2018;The company can survive its chief executive’s strange behavior. But it cannot escape $11 billion in debt.;-1
196;196;9/24/2018;A Japanese billionaire, Yusaku Maezawa, wants artists to join him on a pioneering spaceflight. We asked some leading candidates about the idea.;0
197;197;9/27/2018;The Securities and Exchange Commission filed a lawsuit Thursday that accused Mr. Musk, the electric-car manufacturer’s chief executive, of making false and misleading public statements.;-1
198;198;9/28/2018;The Tesla C.E.O. is accused of fraud by the S.E.C., which could effectively oust him from his current position at the company.;-1
199;199;9/28/2018;Short sellers betting against the electric carmaker may enjoy a bumper payday as the company’s C.E.O. is accused of fraud.;-1
200;200;9/28/2018;The stock tumbled nearly 14 percent Friday. The S.E.C.’s lawsuit against Mr. Musk is putting the spotlight on a company in turbulence and celebrity C.E.O.s.;-1
201;201;9/28/2018;The Securities and Exchange Commission is seeking to bar Mr. Musk from ever serving as an officer or director of a public company.;0
202;202;9/29/2018;The Tesla chief executive, accused of misleading investors on Twitter, walked away from a settlement with relatively light penalties.;-1
203;203;9/29/2018;After walking away from a deal, Tesla’s chief agreed to give up the chairmanship for three years and pay a $20 million fine.;1
204;204;10/1/2018;The company is still struggling to produce and deliver its Model 3 cars. It is short on cash. And it still faces investigations by federal authorities.;-1
205;205;10/1/2018;Federal regulators were right to rein in his reckless management, but the company and the global auto industry need him.;0
206;206;10/1/2018;Investors hope a shake-up of Tesla might help it overcome some of its many problems. But so far, Mr. Musk shows few signs of doing things differently.;-1
207;207;10/1/2018;The agency may be doing the dirty work for Tesla’s directors. But it’s unclear whether or not it will work.;-1
208;208;10/2/2018;Groups of new vehicles are being detected in unexplained locations across the country. Evidence being posted online has raised questions about production, logistics, quality and even demand. ;-1
209;209;10/2/2018;The improvement is welcome news for a company that has been rocked by upheaval since Elon Musk, its chief executive, unveiled an abortive buyout plan.;1
210;210;10/2/2018;Tesla’s board caved to the company co-founder’s demand, according to people familiar with the board’s decision. Two days later, the company and Mr. Musk settled with regulators.;-1
211;211;10/4/2018;Mr. Musk taunted the agency less than a week after he agreed to step down as Tesla’s chairman to settle its lawsuit against him.;-1
212;212;10/11/2018;The automaker needs someone who can rein in Elon Musk, and Mr. Murdoch hasn’t managed to that during his time on the company’s board.;-1
213;213;10/12/2018;The Tesla chief executive’s tweets suggest that he may struggle to avoid violating securities laws in the future, which could bring a harsher punishment.;-1
214;214;10/24/2018;A surge in sales of the Model 3 helped lift the company’s performance, but big financial and production challenges remain.;-1
215;215;10/25/2018;Strong earnings reports by Twitter, Microsoft and Tesla have helped lift the market after a brutal day of trading on Wednesday.;-1
216;216;10/28/2018;Tesla is relying on showrooms to sell electric cars, solar roofs and batteries. But a California rival has made inroads into the residential business.;-1
217;217;10/29/2018;After a frenetic summer, Tesla reported some good results last week. But many more will have to follow.;1
218;218;11/8/2018;Robyn Denholm, an Australian executive, was named days before a regulatory deadline for the electric-car maker to replace its chairman.;0
219;219;11/15/2018;So close to getting their cars, some customers have encountered delays, mix-ups or quality problems as Elon Musk’s operation tries to work out kinks.;0
220;220;11/30/2018;African-American workers have reported threats, humiliation and barriers to promotion at the plant. The automaker says there is no pattern of bias.;1
221;221;11/30/2018;The companies can expect hobbled stock prices as the investigations play out, with penalties and private lawsuits if regulators identify wrongdoing.;0
222;222;12/6/2018;Patrick Chappatte draws the year ahead.;0
223;223;12/10/2018;How seriously is Elon Musk taking his recent tussle with the agency? Not too seriously, if a new interview is anything to go by.;0
224;224;12/11/2018;We dare you to live through 2018 — again.;0
225;225;12/11/2018;Orbiting instruments are now so small they can be launched by the dozens, and even high school students can build them.;0
226;226;12/13/2018;A planned stretch of wall in Texas may be the first to be built under President Trump. It’s likely to be opposed by landowners, including a wildlife refuge — and possibly SpaceX.;0
227;227;12/19/2018;With revisions to the initial concept, a subterranean transport system provides a one-mile ride under a Los Angeles suburb. (In a Tesla.);-1
228;228;12/28/2018;Demand for the company’s electric cars could weaken in January, when a $7,500 federal tax credit is cut in half for buyers of Tesla’s luxury models.;1
229;229;12/28/2018;The appointment of two independent directors was required by a settlement the company reached with the Securities and Exchange Commission in September.;0
230;230;12/30/2018;Stocks had a wild week. Congress, not so much. And federal employees? Well...;-1
231;231;1/2/2019;The automaker said sales of the Model 3 sedan increased 13 percent over the previous quarter, but the price cut could signal softening demand.;1
232;232;1/12/2019;The private company, which aims to send humans to Mars, will have about 6,000 employees remaining after the companywide layoffs.;0
233;233;1/13/2019;Automakers are rolling out models meant to widen the appeal of electric cars. But making it easier and faster to charge them is a crucial challenge.;1
234;234;1/18/2019;The reductions, which amount to 7 percent of Tesla’s work force, were necessary for the company to remain viable, Elon Musk wrote in an email to employees.;1
